fact_topic,fact_category
"Caching Strategies (e.g., Redis, Memcached)",System Design
Sharding and Replication,System Design
CAP Theorem,System Design
Database Partitioning,System Design
CDN (Content Delivery Network),System Design
Rate Limiting,System Design
"Message Queues (Kafka, RabbitMQ)",System Design
High Availability vs Fault Tolerance,System Design
Designing Scalable APIs,System Design
"Unit Testing (JUnit, Pytest)",Testing
Integration Testing,Testing
Test-driven Development (TDD),Testing
Mocking and Stubbing,Testing
Code Coverage Analysis,Testing
Regression Testing,Testing
Load and Performance Testing,Testing
Blockchain Basics,Misc
Quantum Computing,Misc
"Internet Protocols (HTTP, HTTPS, TCP/IP, UDP)",Misc
DNS,Misc
Regex (Regular Expressions),Misc
Compiler Design,Misc
"Data Serialization (XML, YAML, Protobuf)",Misc
"Agile Methodologies (Scrum, Kanban)",Misc
"Testing (Unit, Integration, E2E)",Misc
"IDE Extensions (e.g., Prettier, Live Server)",Misc
